Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AnimLibraryInstaller.Plugin.Name,,,AnimLibraryInstaller,AnimLibraryInstaller,,AnimLibraryInstaller,AnimLibraryInstaller,AnimLibraryInstaller,,AnimLibraryInstaller,AnimLibraryInstaller,AnimLibraryInstaller,AnimLibraryInstaller,AnimLibraryInstaller,AnimLibraryInstaller,,AnimLibraryInstaller,Animasyon Kütüphanesi Yükleyici,AnimLibraryInstaller,,,AnimLibraryInstaller
Studio.AnimLibraryInstaller.Plugin.Button,,, AnimLibrary Installer, AnimLibrary Installer,, AnimLibrary-Installation, Instalador AnimLibrary, Installeur de bibliothèque animée,, Penginstal AnimLibrary,Unità di installazione di AnimLibrary, AnimLibrary インストーラー, 애니메 라이브러리 설치 관리자, Instalator AnimLibrary, AnimLibrary Installer,, โปรแกรมติดตั้ง AnimLibrary, Animasyon Kütüphanesi Yükleyici, Trình Cài Đặt AnimLibrary,,, AnimLibrary 安裝工具
Studio.AnimLibraryInstaller.Plugin.Toolbar,,,AnimLibrary,AnimLibrary,,AnimLibrary,AnimLibrary,AnimLibrary,,AnimLibrary,AnimLibrary,AnimLibrary,AnimLibrary,AnimLibrary,AnimLibrary,,AnimLibrary,Animasyon Kütüphanesi,AnimLibrary,,,AnimLibrary
Studio.AnimLibraryInstaller.Plugin.Description,,,Installs and sets up instances required by the Compositor Animation System.,Installs and sets up instances required by the Compositor Animation System.,,"Installiert und richtet Instanzen ein, die für das Compositor-Animationsystem benötigt werden.",Instala y configura las instancias requeridas por el Sistema de Animación del Compositor.,Installe et configure les instances requises par le Compositor Animation System.,,Menginstal dan mengatur instance yang diperlukan oleh Sistem Animasi Kompositor.,Installa e imposta le istanze richieste dal Sistema di animazione composito.,合成アニメーションシステムに必要なインスタンスのインストールと設定。,컴포지터 애니메이션 시스템에 필요한 인스턴스를 설치 및 설정합니다.,Instaluje i konfiguruje instancje wymagane przez system animacji kompozytora.,Instala e configura instâncias requeridas pelo Sistema de Animação do Compositor.,,ติดตั้งและตั้งค่าอินสแตนซ์ที่ระบบแอนิเมชันเครื่องมือจัดวางองค์ประกอบต้องการ,Dizici Animasyon Sistemi için gereken örnekleri yükler ve kurar.,Cài đặt và thiết lập các phiên bản theo yêu cầu của Hệ Thống Hoạt Ảnh Tổng Hợp.,,,安裝並設定合成器動畫系統所需的個體。
