Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.CreatorStore.Label.Recent,,,Recent,Recent,,Zuletzt verwendet,Reciente,Récent,Baru-Baru Ini,Recenti,,최근,Ostatnie,Recente,,ล่าสุด,Yeni,Gần đây,近期,近期,近期
Studio.CreatorStore.Label.CreatorStore,,,Creator Store,Creator Store,,Creator Store,Tienda de creadores,Boutique du créateur,Toko Kreator,Creator Store,,크리에이터 상점,Sklep dla twórców,Loja do Criador,,ร้านค้าครีเอเตอร์,Yaratıcı Mağazası,Cửa Hàng Nhà Sáng Tạo,创作者商店,创作者商店,創作者商店
Studio.CreatorStore.Label.Inventory,,,Inventory,Inventory,,Inventar,Inventario,Inventaire,Inventaris,Inventario,持ち物,인벤토리,Wyposażenie,Inventário,,คลังไอเท็ม,Envanter,Kho,道具栏,道具栏,物品庫
Studio.CreatorStore.Label.Creations,,,Creations,Creations,,Kreationen,Creaciones,Créations,Kreasi,Creazioni,,작품,Dzieła,Criações,,การสร้างสรรค์,Yaratımlar,Sản phẩm,作品,作品,作品
