Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.LegacyChatDeprecation.General.Body,,,"Please migrate to TextChatService by setting TextChatService.ChatVersion to TextChatService to ensure compatibility when Legacy is removed. If you are experiencing issues, please click “Learn More” to access documentation.","Please migrate to TextChatService by setting TextChatService.ChatVersion to TextChatService to ensure compatibility when Legacy is removed. If you are experiencing issues, please click “Learn More” to access documentation.",,"Bitte migriere zu TextChatService, indem du TextChatService.ChatVersion auf TextChatService setzt, um die Kompatibilität sicherzustellen, wenn die veraltete Version eingestellt wird. Klicke bei Problemen bitte auf “Mehr erfahren”, um zur Dokumentation zu gelangen.","Migra a TextChatService configurando TextChatService.ChatVersion a TextChatService para asegurar la compatibilidad cuando se elimina Legacy. Si estás experimentando problemas, haz clic en Aprender más para acceder a la documentación.","Veuillez migrer vers TextChatService en définissant TextChatService.ChatVersion vers TextChatService pour assurer la compatibilité lorsque l'ancienne version est supprimée. Si tu rencontres des problèmes, cliquer sur « En savoir plus » pour accéder à la documentation.","Silakan beralih ke TextChatService dengan mengatur TextChatService.ChatVersion menjadi TextChatService guna memastikan kompatibilitas ketika Chat Warisan dihapus. Jika kamu mengalami masalah, silakan klik “Info Selengkapnya” untuk membuka dokumen.","Esegui la migrazione a TextChatService impostando TextChatService.ChatVersion su TextChatService per garantire la compatibilità per quando verrà rimossa la versione precedente. In caso di problemi, fai clic su ""Ulteriori informazioni"" per accedere alla documentazione.",旧型の削除時、互換性を確保するために TextChatService.ChatVersion を TextChatService に設定してTextChatService に移行してください。 問題が発生する場合は、[もっと詳しく] をクリックしてドキュメンテーションにアクセスしてください。,"레거시가 제거될 때 호환성을 위해 TextChatService.ChatVersion을 TextChatService로 설정하여 TextChatService를 마이그레이션하세요. 이슈가 발생하면 ""자세히 알아보기""를 클릭해 읽어보세요.","Przeprowadź migrację do usługi TextChatService, ustawiając TextChatService.ChatVersion jako TextChatService, aby zapewnić zgodność po usunięciu starszego systemu. W przypadku wystąpienia problemów kliknij „Dowiedz się więcej”, aby przejść do dokumentacji.","Migre para o TextChatService configurando TextChatService.ChatVersion para TextChatService para garantir compatibilidade quando o legado for removido. Se você está tendo problemas, clique em ""Saiba Mais"" para acessar a documentação.",,"โปรดย้ายไปยัง TextChatService โดยตั้งค่า TextChatService.ChatVersion เป็น TextChatService เพื่อให้แน่ใจว่าเข้ากันได้เมื่อ Legacy ถูกลบออกไป หากคุณประสบปัญหา โปรดคลิก ""เรียนรู้เพิ่มเติม"" เพื่อเข้าถึงเอกสาร","Eski sistem kaldırıldığında uyumluluk sorunu yaşamamak için TextChatService.ChatVersion'ı TextChatService olarak ayarlayıp TextChatService'e geçiş yap. Sorun yaşıyorsan dokümantasyona erişmek için lütfen ""Daha fazla bilgi edin"" seçeneğine tıkla.","Vui lòng di chuyển đến TextChatService bằng cách thiết lập TextChatService.ChatVersion thành TextChatService để đảm bảo khả năng tương thích khi Legacy bị xóa. Nếu bạn gặp sự cố, vui lòng nhấn vào ""Tìm hiểu thêm"" để truy cập vào mục tài liệu.",,,為了確保在舊版本移除後的相容性，請將 TextChatService.ChatVersion 設定為 TextChatService 以轉移至 TextChatService。如果您遭遇問題，請按一下「深入了解」以查看說明文件。
Studio.LegacyChatDeprecation.Title,,,"This project uses the Legacy Chat system which will be removed April 30, 2025","This project uses the Legacy Chat system which will be removed April 30, 2025",,"Dieses Projekt nutzt das veraltete Chatsystem, das am 30. April 2025 eingestellt wird.",Este proyecto utiliza el sistema de Chat heredado que se eliminará el 30 de abril de 2025,Ce projet utilise le système de chat hérité qui sera supprimé le 30 avril 2025,Proyek ini menggunakan sistem Chat Warisan yang akan dihilangkan pada 30 April 2025,Questo progetto utilizza il sistema di chat legacy che verrà rimosso il 30 aprile 2025,このプロジェクトは、2025年4月30日に廃止される旧型チャットシステムを使用しています,본 프로젝트는 2025년 4월 30일 삭제되는 레거시 채팅 시스템을 사용합니다,"W tym projekcie używany jest starszy system czatu, który zostanie usunięty 30 kwietnia 2025 r.","Este projeto usa o sistema de bate-papo antigo, que será removido em 30 de abril de 2025",,โปรเจ็กต์นี้ใช้ระบบ Legacy Chat ซึ่งจะถูกลบออกในวันที่ 30 เมษายน 2025,"Bu proje, Eski Sohbet sistemini kullanıyor ve 30 Nisan 2025'te kaldırılacak","Dự án này sử dụng hệ thống Trò chuyện kiểu cũ, là hệ thống sẽ bị gỡ bỏ vào ngày 30/04/2025",,,此專案使用的舊版本聊天系統將在 2025 年 4 月 30 日移除
Studio.LegacyChatDeprecation.Button.LearnMore,,,Learn more,Learn more,,Mehr erfahren,Aprende más,En apprendre plus,Pelajari selengkapnya,Scopri di più,もっと詳しく,자세히 알아보기,Dowiedz się więcej,Saiba mais,,เรียนรู้เพิ่มเติม,Daha fazla bilgi edin,Tìm hiểu thêm,,,深入了解
Studio.LegacyChatDeprecation.Button.Migrate,,,Migrate,Migrate,,Migrieren,Migrar,Migrer,Beralih,Effettua migrazione,移行,마이그레이션,Migruj,Migrar,,ย้าย,Geçir,Chuyển,,,轉移
