Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PluginChangedWatcher.Output.ChangeDetected,,,Detected add/change: {plugin}; loading/reloading the plugin now!,Detected add/change: {plugin}; loading/reloading the plugin now!,,Hinzufügung/Änderung erkannt: {plugin}; das Plugin wird jetzt geladen/neu geladen!,,,Penambahan/perubahan terdeteksi: {plugin}; me-load/me-reload plugin sekarang!,Rilevata aggiunta/modifica: {plugin}; caricamento/ricaricamento del plugin in corso!,追加または変更を検出: {plugin}: 現在、プラグインの読み込みまたは再読み込み中！,추가/변경 감지: {plugin}; 지금 플러그를 (다시) 불러오는 중입니다!,Wykryto dodanie/zmianę: {plugin}; trwa wczytywanie lub ponowne wczytywanie dodatku plug-in!,,,ตรวจพบการเพิ่ม/เปลี่ยน: {plugin}; กำลังโหลด/กำลังรีโหลดปลั๊กอินอยู่ตอนนี้!,Ekleme/değişiklik tespit edildi. {plugin}: Eklenti şu anda yükleniyor/tekrar yükleniyor!,Phát hiện thao tác thêm/thay đổi: {plugin}; hiện đang tải/tải lại plugin!,,,偵測到新增/變更：{plugin}；立即載入/重新載入外掛程式！
Studio.PluginChangedWatcher.Output.RemovalDetected,,,Detected removal: {plugin}; unloading the plugin now!,Detected removal: {plugin}; unloading the plugin now!,,Entfernung erkannt: {plugin}; das Plugin wird jetzt entladen!,,,Penghapusan terdeteksi: {plugin}; me-unload plugin sekarang!,Rilevata rimozione: {plugin}; rimozione del plugin in corso!,削除を検出: {plugin}: 現在、プラグインのアップロード中！,제거 감지: {plugin}; 지금 플러그를 언로드 중입니다!,Wykryto usunięcie: {plugin}; trwa usuwanie dodatku plug-in!,,,ตรวจพบการลบ: {plugin}; กำลังถอนการโหลดปลั๊กอินอยู่ตอนนี้!,Kaldırma tespit edildi. {plugin}: Eklenti şu anda kaldırılıyor!,Phát hiện thao tác gỡ bỏ: {plugin}; hiện đang gỡ bỏ plugin!,,,偵測到移除：{plugin}；立即卸載外掛程式！
