Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.NestedPackagePublisher.Plugin.Name,,,NestedPackagePublisher,NestedPackagePublisher,,NestedPackagePublisher,Publicador de paquete anidado,NestedPackagePublisher,,NestedPackagePublisher,NestedPackagePublisher,ネスト化済みパッケージパブリッシャー,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,,NestedPackagePublisher,İç İçe Paket Yayınlayıcı,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher
Studio.NestedPackagePublisher.Plugin.Toolbar,,,NestedPackagePublisher,NestedPackagePublisher,,NestedPackagePublisher,Publicador de paquete anidado,NestedPackagePublisher,,NestedPackagePublisher,NestedPackagePublisher,ネスト化済みパッケージパブリッシャー,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,,NestedPackagePublisher,İç İçe Paket Yayınlayıcı,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher
Studio.NestedPackagePublisher.Plugin.Button,,,Toggle,Toggle,,Umschalten,Alternar,Activer/désactiver,,Nyalakan/matikan,Attiva/disattiva,切りかえ,토글,Przełącz,Alternador,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,切换,切换,切換
Studio.NestedPackagePublisher.Plugin.Description,,,Toggles the Template plugin window.,Toggles the Template plugin window.,,Schaltet das Vorlagen-Plugin-Fenster um.,Alterna la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,,Menyalakan/mematikan jendela plugin Templat.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切りかえ。,템플릿 플러그인 창을 토글합니다.,Włącza/wyłącza okno dodatku plug-in z szablonami.,Alterna a janela do plugin de modelos.,,เปิด/ปิดหน้าต่างปลั๊กอินเทมเพลต,Taslak eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Mẫu.,切换样板插件窗口。,切换样板插件窗口。,切換樣板外掛程式視窗。
Studio.NestedPackagePublisher.Action.Cancel,,,Cancel,Cancel,,Abbrechen,Cancelar,Annuler,,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,,ยกเลิก,İptal,Hủy Bỏ,取消,取消,取消
Studio.NestedPackagePublisher.Action.Publish,,,Publish,Publish,,Veröffentlichen,Publicar,Publier,,Publikasikan,Pubblica,公開,게시,Opublikuj,Publicar,,เผยแพร่,Yayınla,Đăng,发布,发布,發布
