Key,Context,Source,en-us
Studio.App.StudioPluginHost.CantRemovePluginFiles,,Unable to remove all of the plugin files in directory %1. Please clean this location manually,Unable to remove all of the plugin files in directory %1. Please clean this location manually
Studio.App.StudioPluginHost.BadFileFormat,,Unable to open plugin file (bad file format): ,Unable to open plugin file (bad file format): 
Studio.App.StudioPluginHost.UnableToCreatePluginFile,,Unable to create plugin file.,Unable to create plugin file.
Studio.App.StudioPluginHost.CantLoadInvalidPlugin,,Error: Plugin at %1 could not be verified and security settings prevent it from loading.,Error: Plugin at %1 could not be verified and security settings prevent it from loading.
Studio.App.PluginLoader.DownloadFailedFmt1,error downloading plugin,Failed to download plugin: %1,Failed to download plugin: %1
